"username";"password";"sms_code";"cluid";"cust";"note"
"rehakovah";"Heslo123";"000000";"2000-05-09-20.49.33.406743";"Cust1";"jeden bezny ucet"
"jlukavsky52";"Heslo123";"000000";"1997-04-09-17.03.06.170222";"Cust2";"celkem tri ucty, jeden cizomenovy"
"vkura43";"Heslo123";"000000";"1998-10-27-03.36.36.615803 ";"Cust3";"nema zadne produkty"
"vrodova78";"Heslo123";"000000";"9005-08-07-03.36.01.039779";"Cust3a";"ruzne typy uctu na ruzne osoby"
"skononcuk65";"Heslo123";"000000";"2003-11-26-11.14.37.979782";"Cust4";"jeden cizomenovy ucet"
"pzuskova73";"Heslo123";"000000";"1997-04-09-17.07.38.740356";"Cust5";"sedm ruznych typu uctu"
"ptrska59";"Heslo123";"000000";"1997-04-09-17.02.47.872838";"Cust6";"osobni ucet, majetkovy ucet, penzijni pripojisteni, NEMA GLOBALNI SOUHLAS - KYC"
"jcerna43";"Heslo123";"000000";"2001-05-05-03.29.15.665993";"Cust7";"osobni a majetkovy ucet"
"kankrlikz";"Heslo123";"000000";"1997-04-09-17.02.28.366835";"Cust8";"nema zadne produkty"
"rzahradnik63";"Heslo123";"000000";"1997-04-09-17.09.43.592891";"Cust9";"nema idCard, KYC vrati INCOMPLETE_CUSTOMER_PROFILE"
"lsobotkova51";"Heslo123";"000000";"1997-04-09-17.06.44.989212";"Cust11";"osm ruznych uctu"
"kspicarova86";"Heslo123";"000000";"2000-01-27-02.21.01.542781";"Cust12";"stavebni sporeni, majetkovy ucet, nema klasicky ucet"
"machilles43";"Heslo123";"000000";"2003-11-02-00.08.02.001217";"Cust13";"osobni ucet cs"
"3405842014";"1516";"N/A";"N/A";"CustPispRB";"Uzivatel pro login do RB PISP"
"9406150083";"6948";"N/A";"N/A";"CustAispRB";"Uzivatel pro login do RB AISP"
